nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
EHALL00102,1715,1810,2,Shapiro,HALL,Hallway Node 1 Floor 2,HallwayE01,Team E
EHALL00702,1715,2090,2,Shapiro,HALL,Hallway Node 7 Floor 2,HallwayE07,Team E
EDEPT00201,3100,890,1,45 Francis,DEPT,Wound and Ambulatory 1,WCCAT 1,Team E
EHALL02901,2770,1070,1,45 Francis,HALL,Hallway Node 27 Floor 1,HallE27,Team E
EHALL03401,2835,1460,1,45 Francis,HALL,Hallway Node 32 Floor 1,HallE32,Team E
EHALL03201,2670,1380,1,45 Francis,HALL,Hallway Node 30 Floor 1,HallE30,Team E
EELEV00F01,3050,980,1,45 Francis,ELEV,Elevator F Floor 1,Elevator F1,Team E
EREST00301,2790,1190,1,45 Francis,REST,Restroom H1 Floor 1,Restroom H1,Team E
EDEPT00101,2335,860,1,45 Francis,DEPT,Waiting Room 1 Floor 1,Wait 1,Team E
ERETL00102,1345,1810,2,Shapiro,RETL,Waiting Area Node 1 Floor 2,WaitingE01,Team E
EHALL03001,2790,1070,1,45 Francis,HALL,Hallway Node 28 Floor 1,HallE28,Team E
EDEPT00301,3200,880,1,45 Francis,DEPT,Ocupational Health Floor 1,Ocupational 1,Team E
EREST00102,1285,1810,2,Shapiro,REST,Restroom Node 1 Floor 2,RestroomE01,Team E
EHALL00202,1580,1810,2,Shapiro,HALL,Hallway Node 2 Floor 2,HallwayE02,Team E
EHALL00601,2385,910,1,45 Francis,HALL,Hallway Node 4 Floor 1,HallE04,Team E
ESTAI00101,2190,910,1,45 Francis,STAI,Staircase K1 Floor 1,Stair K1,Team E
EHALL00301,2240,910,1,45 Francis,HALL,Hallway Node 1 Floor 1,Hall 01,Team E
EHALL02001,2950,745,1,45 Francis,HALL,Hallway Node 18 Floor 1,HallE18,Team E
EHALL01002,1580,2090,2,Shapiro,HALL,Hallway Node 10 Floor 2,HallwayE10,Team E
EHALL01302,1695,2210,2,Shapiro,HALL,Hallway Node 13 Floor 2,HallwayE13,Team E
EHALL02201,3270,875,1,45 Francis,HALL,Hallway Node 20 Floor 1,HallE20,Team E
ESTAI0N102,1680,1935,2,Shapiro,STAI,Staircase N1 Floor 2,StairN1E02,Team E
EELEV00H01,2735,1070,1,45 Francis,ELEV,Elevator H Floor 1,Elevator H1,Team E
EHALL00602,1715,2045,2,Shapiro,HALL,Hallway Node 6 Floor 2,HallwayE06,Team E
EHALL00902,1680,2090,2,Shapiro,HALL,Hallway Node 9 Floor 2,HallwayE09,Team E
EHALL01901,2960,900,1,45 Francis,HALL,Hallway Node 17 Floor 1,HallE17,Team E
EELEV00Q02,1630,2090,2,Shapiro,ELEV,Elevator Q Floor 2,ElevatorQ,Team E
EDEPT00401,2790,1380,1,45 Francis,DEPT,Rehabilitation Services Floor 1,Rehab 1,Team E
EINFO00101,2460,850,1,45 Francis,INFO,Connors Center Security Desk Floor 1,Security 1,Team E
EHALL02101,3230,880,1,45 Francis,HALL,Hallway Node 19 Floor 1,HallE19,Team E
EREST00201,2985,980,1,45 Francis,REST,Restroom F1 Floor 1,Restroom F1,Team E
EHALL01001,2585,890,1,45 Francis,HALL,Hallway Node 8 Floor 1,HallE08,Team E
EEXIT00101,2275,785,1,45 Francis,EXIT,Ambulance Parking Exit Floor 1,AmbExit 1,Team E
EEXIT00202,1715,1760,2,Shapiro,EXIT,BridgeExit 2 Floor 2,BExitE02,Team E
EHALL01202,1580,2210,2,Shapiro,HALL,Hallway Node 12 Floor 2,HallwayE12,Team E
EHALL03101,2790,1460,1,45 Francis,HALL,Hallway Node 29 Floor 1,HallE29,Team E
EHALL02401,2770,980,1,45 Francis,HALL,Hallway Node 22 Floor 1,HallE22,Team E
EHALL00801,2460,910,1,45 Francis,HALL,Hallway Node 6 Floor 1,HallE06,Team E
EHALL01601,2910,910,1,45 Francis,HALL,Hallway Node 14 Floor 1,HallE14,Team E
EHALL00401,2275,910,1,45 Francis,HALL,Hallway Node 2 Floor 1,HallE02,Team E
EHALL00802,1695,2090,2,Shapiro,HALL,Hallway Node 8 Floor 2,HallwayE08,Team E
NodeId,4681,93,Floor,1,1,LongName,ShortName,Team
EHALL01501,2675,910,1,45 Francis,HALL,Hallway Node 13 Floor 1,HallE13,Team E
EHALL03501,2760,1460,1,45 Francis,HALL,Hallway Node 33 Floor 1,HallE33,Team E
EHALL03301,2605,1380,1,45 Francis,HALL,Hallway Node 31 Floor 1,HallE31,Team E
EHALL00901,2585,910,1,45 Francis,HALL,Hallway Node 7 Floor 1,HallE07,Team E
